City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,17.28,98,100,1.57,ZA,1710814017
1,strezhevoy,60.7333,77.5889,-11.13,92,57,4.02,RU,1710814017
2,ushuaia,-54.8,-68.3,1.81,75,20,1.54,AR,1710813878
3,longyearbyen,78.2186,15.6401,-25.09,77,0,3.09,SJ,1710814018
4,grytviken,-54.2811,-36.5092,1.18,79,99,2.41,GS,1710814018
5,shenjiamen,29.9576,122.298,9.33,79,13,7.93,CN,1710814018
6,jamestown,42.097,-79.2353,-0.23,85,100,6.69,US,1710814009
7,kununurra,-15.7667,128.7333,32.99,62,45,3.6,AU,1710813841
8,tiksi,71.6872,128.8694,-20.58,87,47,3.21,RU,1710814018
9,bat khela,34.6167,71.9714,13.38,44,0,3.07,PK,1710814018
10,adamstown,-25.066,-130.1015,24.66,78,100,6.84,PN,1710814018
11,chonchi,-42.6128,-73.8092,12.56,93,100,1.91,CL,1710813732
12,belmonte,-15.8631,-38.8828,26.31,82,94,2.78,BR,1710814018
13,port-aux-francais,-49.35,70.2167,6.48,83,74,13.51,TF,1710814018
14,gharavuti,37.5672,68.4469,9.36,59,100,2.65,TJ,1710814018
15,weno,7.4515,151.8468,28.97,89,100,3.6,FM,1710814018
16,svilengrad,41.7667,26.2,8.76,78,61,0.92,BG,1710814019
17,song cau,13.45,109.2167,27.42,68,69,2.5,VN,1710814019
18,whakatane,-37.9585,176.9854,18.76,57,53,5.36,NZ,1710814019
19,tolanaro,-25.0319,46.9987,24.21,92,56,4.17,MG,1710814019
20,hermanus,-34.4187,19.2345,16.0,91,91,3.35,ZA,1710814019
21,coahuayana de hidalgo,18.7,-103.6583,21.95,89,75,0.65,MX,1710814019
22,waitangi,-43.9535,-176.5597,13.23,77,54,2.68,NZ,1710814019
23,sipalay,9.75,122.5,31.27,44,78,2.77,PH,1710814019
24,tete,-16.1564,33.5867,22.41,89,1,2.17,MZ,1710814019
25,iqaluit,63.7506,-68.5145,-23.97,96,64,1.31,CA,1710814019
26,ilulissat,69.2167,-51.1,-17.99,55,13,1.54,GL,1710814019
27,nagqu,31.5,92.0,-6.43,81,100,2.41,CN,1710814019
28,la passe,45.5549,-0.8967,9.99,88,98,1.39,FR,1710814019
29,bodo,67.28,14.405,3.76,70,75,2.06,NO,1710813729
30,nemuro,43.3236,145.575,-2.26,66,38,12.33,JP,1710814020
31,margaret river,-33.95,115.0667,17.68,39,0,5.5,AU,1710814020
32,hlusk,52.903,28.6845,4.12,97,100,4.17,BY,1710814020
33,edinburgh of the seven seas,-37.0676,-12.3116,18.8,91,100,7.23,SH,1710814020
34,dudinka,69.4058,86.1778,-21.8,100,98,3.71,RU,1710814020
35,luwuk,-0.9516,122.7875,30.05,70,92,1.31,ID,1710814020
36,uturoa,-16.7333,-151.4333,28.83,64,94,1.58,PF,1710814020
37,nogliki,51.8333,143.1667,-6.05,89,100,6.14,RU,1710814020
38,blagoveshchensk,50.2667,127.5333,-7.66,45,20,2.0,RU,1710814020
39,alta,69.9689,23.2717,-1.41,93,75,3.09,NO,1710814020
40,newman,37.3138,-121.0208,22.13,69,11,1.91,US,1710814020
41,bethel,41.3712,-73.414,4.17,53,100,3.09,US,1710814020
42,kushiro,42.975,144.3747,1.53,47,20,8.23,JP,1710814020
43,constantia,44.1833,28.65,1.38,87,98,3.07,RO,1710813782
44,bocanda,7.0626,-4.4995,26.0,85,4,2.0,CI,1710814021
45,olonkinbyen,70.9221,-8.7187,-3.48,90,100,16.59,SJ,1710814021
46,hamburg,53.55,10.0,5.55,73,75,5.14,DE,1710813922
47,revda,56.801,59.9303,-6.52,93,100,3.55,RU,1710814021
48,crucecita,-28.95,-58.9833,26.62,88,64,2.52,AR,1710814021
49,yovon,38.3141,69.0378,11.82,55,100,2.77,TJ,1710814021
50,nyurba,63.2842,118.3319,-3.64,93,100,6.41,RU,1710814021
51,qaqortoq,60.7167,-46.0333,-17.36,84,19,3.53,GL,1710814021
52,port elizabeth,-33.918,25.5701,19.62,88,55,0.89,ZA,1710814021
53,happy valley-goose bay,53.3168,-60.3315,-1.93,95,100,4.36,CA,1710814022
54,puerto natales,-51.7236,-72.4875,2.89,91,97,1.08,CL,1710814022
55,lihue,21.9789,-159.3672,26.58,68,100,4.12,US,1710814022
56,atafu village,-8.5421,-172.5159,29.5,73,95,3.23,TK,1710814022
57,ribeira grande,38.5167,-28.7,14.87,78,58,1.79,PT,1710813750
58,avarua,-21.2078,-159.775,29.03,74,40,3.09,CK,1710814022
59,talnakh,69.4865,88.3972,-21.4,97,100,3.63,RU,1710814022
60,tambacounda,13.7539,-13.7586,29.36,11,33,2.38,SN,1710814022
61,letlhakeng,-24.0944,25.0298,18.74,73,3,3.0,BW,1710814022
62,hotan,37.0997,79.9269,7.11,21,98,0.93,CN,1710814022
63,touros,-5.1989,-35.4608,27.87,79,53,4.36,BR,1710814022
64,enewetak,11.3474,162.3373,27.42,79,56,4.43,MH,1710814023
65,saint-philippe,-21.3585,55.7679,24.77,82,74,5.08,RE,1710814023
66,saldanha,-33.0117,17.9442,17.07,94,97,5.31,ZA,1710814023
67,barcelos,41.5388,-8.6151,14.91,94,43,1.52,PT,1710814023
68,moree,-29.4667,149.85,29.97,44,0,3.79,AU,1710814023
69,yigo village,13.5361,144.8886,30.62,63,20,7.2,GU,1710814023
70,saipan,15.1355,145.701,29.39,54,40,6.69,MP,1710814023
71,keflavik,64.0049,-22.5624,0.24,59,75,10.8,IS,1710814023
72,college,64.8569,-147.8028,-7.74,58,75,1.54,US,1710813937
73,st. john's,47.5649,-52.7093,1.2,96,75,8.75,CA,1710813920
74,lexington,37.9887,-84.4777,0.64,58,7,1.34,US,1710813831
75,okhotsk,59.3833,143.3,-3.41,84,100,2.17,RU,1710814024
76,makhambet,47.6667,51.5833,0.07,90,8,3.33,KZ,1710814024
77,iquique,-20.2208,-70.1431,21.76,80,35,0.62,CL,1710814024
78,tazacorte,28.629,-17.9293,18.54,80,100,7.6,ES,1710814024
79,blackmans bay,-43.0167,147.3167,28.07,52,0,6.4,AU,1710813801
80,la ronge,55.1001,-105.2842,-1.86,69,75,7.72,CA,1710813781
81,arish,31.1316,33.7984,14.01,77,68,9.31,EG,1710814024
82,port blair,11.6667,92.75,27.02,89,0,1.03,IN,1710814025
83,kodiak,57.79,-152.4072,1.73,64,0,2.06,US,1710813785
84,ust-nera,64.5667,143.2,-12.42,92,100,2.4,RU,1710814025
85,saint-francois,46.4154,3.9054,5.93,94,0,1.03,FR,1710814025
86,cidreira,-30.1811,-50.2056,24.17,92,98,7.54,BR,1710813754
87,kragero,58.8693,9.4149,0.25,71,45,1.48,NO,1710814025
88,iskateley,67.6803,53.1512,-17.88,93,10,2.95,RU,1710814025
89,quang ngai,15.1167,108.8,27.21,68,72,1.81,VN,1710814025
90,geneina,13.45,22.45,22.62,29,42,9.54,SD,1710814025
91,hasaki,35.7333,140.8333,8.22,35,100,3.71,JP,1710814025
92,bamboo flat,11.7,92.7167,27.05,89,0,1.03,IN,1710813856
93,moyale,3.5167,39.0584,22.31,47,53,3.52,KE,1710814026
94,sorong,-0.8833,131.25,28.37,72,98,3.23,ID,1710813924
95,papatowai,-46.5619,169.4708,13.53,57,27,3.47,NZ,1710814026
96,aasiaat,68.7098,-52.8699,-28.46,96,32,2.71,GL,1710814026
97,afaahiti,-17.75,-149.2833,28.93,74,100,3.37,PF,1710814026
98,kangding,30.0513,101.9603,3.99,68,97,2.36,CN,1710814026
99,vorgashor,67.5833,63.95,-15.9,89,100,10.43,RU,1710814026
100,plettenberg bay,-34.0527,23.3716,17.96,78,100,2.36,ZA,1710814026
101,pimentel,-6.8367,-79.9342,25.16,73,100,4.63,PE,1710814026
102,pozo del molle,-32.0186,-62.9198,24.49,94,39,3.03,AR,1710813906
103,kapa'a,22.0752,-159.319,26.99,68,100,4.12,US,1710814026
104,albany,42.6001,-73.9662,2.23,66,66,0.89,US,1710813825
105,moroto,2.5345,34.6666,23.81,47,100,2.09,UG,1710814027
106,hithadhoo,-0.6,73.0833,28.73,71,26,4.59,MV,1710814027
107,sarupathar,26.1984,93.8094,24.9,29,39,0.98,IN,1710814027
108,ketchikan,55.3422,-131.6461,8.26,81,75,2.06,US,1710814027
109,luga,58.7372,29.8453,-0.12,95,100,1.25,RU,1710814027
110,saint-louis,16.3333,-15.0,25.52,12,0,4.57,SN,1710813743
111,as sulayyil,20.4607,45.5779,27.14,32,42,2.99,SA,1710814027
112,naze,28.3667,129.4833,14.51,78,99,6.79,JP,1710813728
113,sanya,18.2431,109.505,27.09,74,40,4.0,CN,1710813954
114,kerikeri,-35.2268,173.9474,22.17,53,12,6.04,NZ,1710814027
115,zag,46.9441,99.165,-14.93,74,7,1.39,MN,1710814027
116,tura,25.5198,90.2201,27.3,31,53,0.69,IN,1710814028
117,puerto baquerizo moreno,-0.9,-89.6,27.35,79,100,1.39,EC,1710813748
118,juneau,58.3019,-134.4197,7.0,93,100,3.6,US,1710813882
119,kutum,14.2,24.6667,19.51,31,100,6.87,SD,1710814028
120,dampit,-8.2116,112.7493,27.69,60,21,2.42,ID,1710814028
121,badger,64.8,-147.5333,-7.79,60,75,1.54,US,1710814028
122,bilibino,68.0546,166.4372,-13.59,72,5,1.07,RU,1710814028
123,price,39.5994,-110.8107,11.59,25,0,1.54,US,1710813989
124,dakar,14.6937,-17.4441,20.07,94,77,3.09,SN,1710813871
125,salinopolis,-0.6136,-47.3561,26.0,89,99,3.84,BR,1710813974
126,stanley,54.868,-1.6985,10.16,81,75,6.69,GB,1710814020
127,tannum sands,-23.9504,151.3693,29.94,58,40,6.17,AU,1710814029
128,mosfellsbaer,64.1667,-21.7,0.01,85,100,6.69,IS,1710814029
129,arraial do cabo,-22.9661,-42.0278,25.27,89,54,2.48,BR,1710814029
130,nar'yan-mar,67.6713,53.087,-17.64,93,10,2.98,RU,1710814029
131,gonzaga,44.9498,10.8209,11.7,95,36,2.22,IT,1710814029
132,urengoy,65.9667,78.3667,-23.07,100,96,2.93,RU,1710814029
133,east london,-33.0153,27.9116,19.44,86,1,3.76,ZA,1710814029
134,princeville,45.7668,-61.2985,2.4,89,99,0.45,CA,1710814029
135,al burayqah,30.4062,19.5739,14.99,73,0,1.97,LY,1710814029
136,lorengau,-2.0226,147.2712,26.37,86,100,3.13,PG,1710814029
137,hammerfest,70.6634,23.6821,-2.75,93,75,2.06,NO,1710814030
138,georgetown,5.4112,100.3354,30.53,69,20,3.6,MY,1710813985
139,durg,21.1833,81.2833,23.1,62,9,3.25,IN,1710814030
140,mochudi,-24.4167,26.15,18.36,79,43,2.04,BW,1710814030
141,qalat,32.1058,66.9083,10.68,59,0,0.09,AF,1710813857
142,brandon,27.9378,-82.2859,21.92,86,0,2.57,US,1710813973
143,pyhajarvi,67.0701,27.2176,-6.58,94,97,3.5,FI,1710814030
144,susuman,62.7833,148.1667,-11.12,82,100,0.89,RU,1710814030
145,namtsy,62.7161,129.6658,-13.48,91,94,3.08,RU,1710814030
146,khandyga,62.6667,135.6,-11.24,89,72,0.33,RU,1710814030
147,belomorsk,64.5232,34.7668,-5.37,70,61,4.77,RU,1710814030
148,grafton,42.207,-71.6856,3.0,56,0,6.17,US,1710814030
149,mar del plata,-38.0023,-57.5575,19.01,76,100,5.14,AR,1710813753
150,sandnessjoen,66.0217,12.6316,-1.71,61,98,5.68,NO,1710814031
151,west island,-12.1568,96.8225,28.99,79,1,3.09,CC,1710814031
152,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,86,75,22.35,RU,1710814031
153,miyako,39.6367,141.9525,5.98,33,36,6.08,JP,1710814031
154,taltal,-25.4,-70.4833,19.84,84,30,1.41,CL,1710814031
155,eenhana,-17.4667,16.3333,22.63,52,72,2.05,NA,1710814031
156,ongole,15.5,80.05,25.83,74,1,2.63,IN,1710814031
157,kapuskasing,49.4169,-82.4331,-8.95,67,100,1.54,CA,1710813758
158,hobyo,5.3505,48.5268,26.97,69,10,5.15,SO,1710814031
159,robertsport,6.7533,-11.3686,26.97,92,51,4.19,LR,1710814031
